Athlete#,Finish Time,Split 1,Split 2,Split 3,SEQ
132,15.123,2.611,10.176,15.123,98
231,20.049,3.95,13.377,20.049,99
242,10.908,2.965,10.908,0,101
241,22.847,6.316,16.632,22.847,103
171,14.485,2.436,9.668,14.485,113
142,17.086,3.05,11.382,17.086,102
221,17.878,4.996,13.052,17.878,95
211,14.645,2.92,10.177,14.645,91
162,21.218,5.896,15.573,21.218,111
222,15.451,2.773,10.48,15.451,93
112,14.437,2.775,9.971,14.437,89
151,18.221,3.265,12.386,18.221,104
251,16.504,2.828,11.051,16.504,107
141,18.388,2.985,11.689,18.388,100
161,19.843,4.666,14.426,19.843,108
261,19.752,2.879,12.321,19.752,112
131,10.069,2.448,10.069,0,96
262,16.435,3.035,11.227,16.435,109
152,15.31,2.721,10.429,15.31,106
252,19.569,4.066,13.301,19.569,105
122,10.918,3.203,10.918,0,94
121,15.185,2.677,10.422,15.185,92
232,16.119,2.924,10.894,16.119,97
111,14.23,2.5,9.86,14.23,88
212,13.33,2.18,9.01,13.33,87